z_A	nval_CHGCAR	nval_DBG	dencor_py	dencor_DBG	ne_py	ne_DBG	phisol_py_eV	phisol_DBG_eV	phi_final_DBG_eV
0.000000000000e+00	8.529232734473e-04	8.529232735707e-04	-1.247376560502e-05	-8.016656341337e-06	8.404495078423e-04	8.449066171173e-04	2.444318745765e-01	2.443941325256e-01	3.080822839298e-01
9.114583333333e-02	1.977594005487e-03	1.977594005391e-03	1.297467926786e-05	8.517530428092e-06	1.990568684755e-03	1.986111535694e-03	2.478350992058e-01	3.625587449615e-01	4.244378390132e-01
1.822916666667e-01	-8.594739789575e-04	-8.594739787643e-04	-1.305489292077e-05	-8.597710328004e-06	-8.725288718783e-04	-8.680716891619e-04	2.514173167006e-01	4.623275292118e-01	5.221712184186e-01
2.734375000000e-01	-2.026749392255e-03	-2.026749392573e-03	1.338247462564e-05	8.925244400475e-06	-2.013366917629e-03	-2.017824148329e-03	2.552738194821e-01	5.293981964643e-01	5.869801431404e-01
3.645833333333e-01	8.864334653485e-04	8.864334655579e-04	-1.353460543937e-05	-9.077346199906e-06	8.728988599092e-04	8.773561192640e-04	2.593084987818e-01	5.544550521095e-01	6.095489256177e-01
4.557291666667e-01	2.135275526595e-03	2.135275526652e-03	1.398189358781e-05	9.524583033397e-06	2.149257420183e-03	2.144800109567e-03	2.636187243739e-01	5.571906344509e-01	6.095700897042e-01
5.468750000000e-01	-8.174379606788e-04	-8.174379603925e-04	-1.391615893098e-05	-9.458811686696e-06	-8.313541196098e-04	-8.268967721778e-04	2.681047627820e-01	5.601095360657e-01	6.095482122913e-01
6.380208333333e-01	-2.106674793122e-03	-2.106674793467e-03	1.463008447899e-05	1.017269708331e-05	-2.092044708643e-03	-2.096502096553e-03	2.728682849851e-01	5.632984145819e-01	6.095699505711e-01
7.291666666667e-01	9.411823964366e-04	9.411823966338e-04	-1.442360441691e-05	-9.966163733513e-06	9.267587920197e-04	9.312162328203e-04	2.778067506366e-01	5.666697438917e-01	6.095477788653e-01
8.203125000000e-01	2.337301391106e-03	2.337301390753e-03	1.514917446362e-05	1.069170145630e-05	2.352450565570e-03	2.347993092034e-03	2.830240380216e-01	5.703123871225e-01	6.095705598780e-01
9.114583333333e-01	-7.336904449149e-04	-7.336904448894e-04	-1.510437027719e-05	-1.064684036683e-05	-7.487948151921e-04	-7.443372853796e-04	2.884137533501e-01	5.741349665929e-01	6.095469163451e-01
