z_A	nval_CHGCAR	nval_DBG	dencor_py	dencor_DBG	ne_py	ne_DBG	phisol_py_eV	cvhar_DBG_eV	cvdip_DBG_eV	phisol_DBG_eV	phi_final_DBG_eV
0.000000000000e+00	8.529232734473e-04	8.529232734770e-04	-1.247376560502e-05	-8.016656341337e-06	8.404495078423e-04	8.449066170512e-04	2.444318745765e-01	2.443941325256e-01	6.221070935013e-18	2.443941325256e-01	2.420301166256e-01
9.114583333333e-02	1.977594005487e-03	1.977594004976e-03	1.297467926786e-05	8.517530428092e-06	1.990568684755e-03	1.986111535294e-03	2.478350992058e-01	2.477928597773e-01	5.896381152800e-02	3.067566713053e-01	3.030703541271e-01
1.822916666667e-01	-8.594739789575e-04	-8.594739787572e-04	-1.305489292077e-05	-8.597710328004e-06	-8.725288718783e-04	-8.680716891359e-04	2.514173167006e-01	2.513780847414e-01	1.083804936100e-01	3.597585783500e-01	3.545282920855e-01
2.734375000000e-01	-2.026749392255e-03	-2.026749393361e-03	1.338247462564e-05	8.925244400475e-06	-2.013366917629e-03	-2.017824149080e-03	2.552738194821e-01	2.552300897613e-01	1.408606446500e-01	3.960907344091e-01	3.890984470141e-01
3.645833333333e-01	8.864334653485e-04	8.864334655432e-04	-1.353460543937e-05	-9.077346199906e-06	8.728988599092e-04	8.773561193110e-04	2.593084987818e-01	2.592677769260e-01	1.516597622300e-01	4.109275391580e-01	4.019575544757e-01
4.557291666667e-01	2.135275526595e-03	2.135275526408e-03	1.398189358781e-05	9.524583033397e-06	2.149257420183e-03	2.144800109368e-03	2.636187243739e-01	2.635735043481e-01	1.508530613700e-01	4.144265657173e-01	4.032582316174e-01
5.468750000000e-01	-8.174379606788e-04	-8.174379603619e-04	-1.391615893098e-05	-9.458811686696e-06	-8.313541196098e-04	-8.268967720937e-04	2.681047627820e-01	2.680625510437e-01	1.500463605100e-01	4.181089115499e-01	4.045158672631e-01
6.380208333333e-01	-2.106674793122e-03	-2.106674794404e-03	1.463008447899e-05	1.017269708331e-05	-2.092044708643e-03	-2.096502097442e-03	2.728682849851e-01	2.728215746407e-01	1.492396596400e-01	4.220612342839e-01	4.058171185969e-01
7.291666666667e-01	9.411823964366e-04	9.411823964857e-04	-1.442360441691e-05	-9.966163733513e-06	9.267587920197e-04	9.312162326838e-04	2.778067506366e-01	2.777630490312e-01	1.484329587800e-01	4.261960078115e-01	4.070744599484e-01
8.203125000000e-01	2.337301391106e-03	2.337301389751e-03	1.514917446362e-05	1.069170145630e-05	2.352450565570e-03	2.347993091037e-03	2.830240380216e-01	2.829758373427e-01	1.476262579200e-01	4.306020952601e-01	4.083767540141e-01
9.114583333333e-01	-7.336904449149e-04	-7.336904453941e-04	-1.510437027719e-05	-1.064684036683e-05	-7.487948151921e-04	-7.443372858581e-04	2.884137533501e-01	2.883685618939e-01	1.468195570500e-01	4.351881189483e-01	4.096326235374e-01
1.002604166667e+00	-2.149604271987e-03	-2.149604271334e-03	1.563649687834e-05	1.117892766892e-05	-2.133967775109e-03	-2.138425343728e-03	2.940843200575e-01	2.940346290271e-01	1.460128561900e-01	4.400474852186e-01	4.109354744417e-01
