z_A	PHI_DFT_eV	PHI_py_eV	RHOB_DFT_e_A3	RHOB_py_e_A3	RHOION_DFT_e_A3	RHOION_py_e_A3
0.000000000000e+00	3.080803032915e-01	-7.314749717474e+00	5.809771915855e-11	6.792456598357e-09	-5.771628652748e-20	0.000000000000e+00
9.114583333333e-02	4.244352114403e-01	-7.156119213508e+00	-5.580949758769e-11	-6.677240441258e-09	-4.394438757167e-20	0.000000000000e+00
1.822916666667e-01	5.221680455153e-01	-7.008360759256e+00	5.353777873140e-11	6.564443469025e-09	-2.888005889155e-20	0.000000000000e+00
2.734375000000e-01	5.869766051518e-01	-6.880085894206e+00	-5.128180008496e-11	-6.453994084441e-09	-9.292344638876e-20	0.000000000000e+00
3.645833333333e-01	6.095452532815e-01	-6.776980978563e+00	4.904082044303e-11	6.345822102613e-09	-7.191524406776e-20	0.000000000000e+00
4.557291666667e-01	6.095664065340e-01	-6.687077341569e+00	-4.681412718619e-11	-6.239858862416e-09	-7.185068181300e-20	0.000000000000e+00
5.468750000000e-01	6.095445182871e-01	-6.596799788665e+00	4.460102714954e-11	6.136037350853e-09	-3.955681965997e-20	0.000000000000e+00
6.380208333333e-01	6.095662457330e-01	-6.506046723981e+00	-4.240084688805e-11	-6.034292234112e-09	-4.099170096491e-20	0.000000000000e+00
7.291666666667e-01	6.095440631934e-01	-6.414920614133e+00	4.021293409686e-11	5.934559946848e-09	-3.421444115446e-20	0.000000000000e+00
8.203125000000e-01	6.095668333725e-01	-6.323317653228e+00	-3.803665573654e-11	-5.836778688155e-09	-5.117654473704e-20	0.000000000000e+00
9.114583333333e-01	6.095431790059e-01	-6.231344163963e+00	3.587139078392e-11	5.740888448592e-09	-6.479503429836e-20	0.000000000000e+00
1.002604166667e+00	6.095665060250e-01	-6.138891792734e+00	-3.371654169721e-11	-5.646831012862e-09	-4.120256484293e-20	0.000000000000e+00
1.093750000000e+00	6.095424873323e-01	-6.046069816552e+00	3.157151867944e-11	5.554549931035e-09	-6.451842353701e-20	0.000000000000e+00
1.184895833333e+00	6.095668916350e-01	-5.952767514550e+00	-2.943575168851e-11	-5.463990521396e-09	-4.247396741092e-20	0.000000000000e+00
1.276041666667e+00	6.095412777721e-01	-5.859098282304e+00	2.730867942594e-11	5.375099830753e-09	-3.159952175679e-20	0.000000000000e+00
1.367187500000e+00	6.095662119562e-01	-5.764946596919e+00	-2.518975746016e-11	-5.287826604273e-09	-5.346050853954e-20	0.000000000000e+00
1.458333333333e+00	6.095401315527e-01	-5.670428979997e+00	2.307844750803e-11	5.202121240916e-09	-5.626452426600e-20	0.000000000000e+00
1.549479166667e+00	6.095661061401e-01	-5.575427400686e+00	-2.097422706693e-11	-5.117935787984e-09	-5.845282931492e-20	0.000000000000e+00
1.640625000000e+00	6.095381583112e-01	-5.480062799996e+00	1.887658087004e-11	5.035223844240e-09	-8.144158245656e-20	0.000000000000e+00
1.731770833333e+00	6.095644350143e-01	-5.384212065017e+00	-1.678500289195e-11	-4.953940565526e-09	-8.637008137000e-20	0.000000000000e+00
1.822916666667e+00	6.095356658659e-01	-5.287999434488e+00	1.469899679396e-11	4.874042596166e-09	-2.764567596496e-20	0.000000000000e+00
1.914062500000e+00	6.095626467705e-01	-5.191299141715e+00	-1.261807466435e-11	-4.795488021630e-09	-8.060212506561e-20	0.000000000000e+00
2.005208333333e+00	6.095313717593e-01	-5.094240165938e+00	1.054175279420e-11	4.718236338961e-09	-6.837379708218e-20	0.000000000000e+00
2.096354166667e+00	6.095579602529e-01	-4.996691411933e+00	-8.469558907446e-12	-4.642248390978e-09	-9.501135416956e-20	0.000000000000e+00
2.187500000000e+00	6.095248823804e-01	-4.898785387962e+00	6.401022853696e-12	4.567486341274e-09	-4.322798346905e-20	0.000000000000e+00
2.278645833333e+00	6.095509708716e-01	-4.800388280252e+00	-4.335682389636e-12	-4.493913601914e-09	-3.976102000244e-20	0.000000000000e+00
2.369791666667e+00	6.095134871667e-01	-4.701637811129e+00	2.273079258949e-12	4.421494827108e-09	-5.292046600905e-20	0.000000000000e+00
2.460937500000e+00	6.095367155639e-01	-4.602394709725e+00	-2.127608954508e-13	-4.350195834950e-09	-7.547786628781e-20	0.000000000000e+00
2.552083333333e+00	6.094940238813e-01	-4.502800597685e+00	-1.845723078110e-12	4.279983579188e-09	-8.803448445209e-20	0.000000000000e+00
2.643229166667e+00	6.095122251719e-01	-4.402713669501e+00	3.902818048221e-12	-4.210826110404e-09	-7.831845742011e-20	0.000000000000e+00
2.734375000000e+00	6.094588246772e-01	-4.302281415488e+00	-5.958965115762e-12	4.142692541407e-09	-5.772028464858e-20	0.000000000000e+00
2.825520833333e+00	6.094657704512e-01	-4.201356888816e+00	8.014607246137e-12	-4.075552976986e-09	-6.472869510059e-20	0.000000000000e+00
2.916666666667e+00	6.093957031741e-01	-4.100092450937e+00	-1.007017967798e-11	4.009378523565e-09	-5.315280127920e-20	0.000000000000e+00
3.007812500000e+00	6.093818666674e-01	-3.998339852390e+00	1.212612008446e-11	-3.944141215862e-09	-7.876861626089e-20	0.000000000000e+00
3.098958333333e+00	6.092790353238e-01	-3.896259328088e+00	-1.418286331559e-11	3.879813983902e-09	-8.227408015468e-20	0.000000000000e+00
3.190104166667e+00	6.092236122508e-01	-3.793699461765e+00	1.624084348714e-11	-3.816370655123e-09	-9.014193860397e-20	0.000000000000e+00
3.281250000000e+00	6.090627495517e-01	-3.690828118539e+00	-1.830049416055e-11	3.753785865164e-09	-7.277039778639e-20	0.000000000000e+00
3.372395833333e+00	6.089299767197e-01	-3.587496747409e+00	2.036225012561e-11	-3.692035065008e-09	-8.754256745575e-20	0.000000000000e+00
3.463541666667e+00	6.086588860899e-01	-3.483886782088e+00	-2.242654511702e-11	3.631094502258e-09	-8.677929648708e-20	0.000000000000e+00
3.554687500000e+00	6.083781463509e-01	-3.379854523009e+00	2.449381522027e-11	-3.570941082094e-09	-9.217912947623e-20	0.000000000000e+00
