z_A	PHI_DFT_eV	PHI_py_eV	RHOB_DFT_e_A3	RHOB_py_e_A3	RHOION_DFT_e_A3	RHOION_py_e_A3
0.000000000000e+00	3.080803032915e-01	4.792036681014e+00	5.809771915855e-11	2.221436903838e-07	-5.771628652748e-20	0.000000000000e+00
9.114583333333e-02	4.244352114403e-01	4.853663083230e+00	-5.580949758769e-11	-2.177885423720e-07	-4.394438757167e-20	0.000000000000e+00
1.822916666667e-01	5.221680455153e-01	4.902274863233e+00	5.353777873140e-11	2.135647209307e-07	-2.888005889155e-20	0.000000000000e+00
2.734375000000e-01	5.869766051518e-01	4.927908755545e+00	-5.128180008496e-11	-2.094659184758e-07	-9.292344638876e-20	0.000000000000e+00
3.645833333333e-01	6.095452532815e-01	4.924010491950e+00	4.904082044303e-11	2.054862179849e-07	-7.191524406776e-20	0.000000000000e+00
4.557291666667e-01	6.095664065340e-01	4.904391789188e+00	-4.681412718619e-11	-2.016200634991e-07	-7.185068181300e-20	0.000000000000e+00
5.468750000000e-01	6.095445182871e-01	4.884750869832e+00	4.460102714954e-11	1.978622332241e-07	-3.955681965997e-20	0.000000000000e+00
6.380208333333e-01	6.095662457330e-01	4.865189333976e+00	-4.240084688805e-11	-1.942078150051e-07	-4.099170096491e-20	0.000000000000e+00
7.291666666667e-01	6.095440631934e-01	4.845604710828e+00	4.021293409686e-11	1.906521838274e-07	-3.421444115446e-20	0.000000000000e+00
8.203125000000e-01	6.095668333725e-01	4.826100810412e+00	-3.803665573654e-11	-1.871909813762e-07	-5.117654473704e-20	0.000000000000e+00
9.114583333333e-01	6.095431790059e-01	4.806571305940e+00	3.587139078392e-11	1.838200970933e-07	-6.479503429836e-20	0.000000000000e+00
1.002604166667e+00	6.095665060250e-01	4.787124555071e+00	-3.371654169721e-11	-1.805356510258e-07	-4.120256484293e-20	0.000000000000e+00
1.093750000000e+00	6.095424873323e-01	4.767651276773e+00	3.157151867944e-11	1.773339778800e-07	-6.451842353701e-20	0.000000000000e+00
1.184895833333e+00	6.095668916350e-01	4.748262195903e+00	-2.943575168851e-11	-1.742116125033e-07	-4.247396741092e-20	0.000000000000e+00
1.276041666667e+00	6.095412777721e-01	4.728843912922e+00	2.730867942594e-11	1.711652764404e-07	-3.159952175679e-20	0.000000000000e+00
1.367187500000e+00	6.095662119562e-01	4.709511954664e+00	-2.518975746016e-11	-1.681918655783e-07	-5.346050853954e-20	0.000000000000e+00
1.458333333333e+00	6.095401315527e-01	4.690149795611e+00	2.307844750803e-11	1.652884387374e-07	-5.626452426600e-20	0.000000000000e+00
1.549479166667e+00	6.095661061401e-01	4.670875470509e+00	-2.097422706693e-11	-1.624522071596e-07	-5.845282931492e-20	0.000000000000e+00
1.640625000000e+00	6.095381583112e-01	4.651568034472e+00	1.887658087004e-11	1.596805247781e-07	-8.144158245656e-20	0.000000000000e+00
1.731770833333e+00	6.095644350143e-01	4.632350604272e+00	-1.678500289195e-11	-1.569708792007e-07	-8.637008137000e-20	0.000000000000e+00
1.822916666667e+00	6.095356658659e-01	4.613098937321e+00	1.469899679396e-11	1.543208834066e-07	-2.764567596496e-20	0.000000000000e+00
1.914062500000e+00	6.095626467705e-01	4.593938804149e+00	-1.261807466435e-11	-1.517282680098e-07	-8.060212506561e-20	0.000000000000e+00
2.005208333333e+00	6.095313717593e-01	4.574741221692e+00	1.054175279420e-11	1.491908740864e-07	-6.837379708218e-20	0.000000000000e+00
2.096354166667e+00	6.095579602529e-01	4.555637288989e+00	-8.469558907446e-12	-1.467066465697e-07	-9.501135416956e-20	0.000000000000e+00
2.187500000000e+00	6.095248823804e-01	4.536494493968e+00	6.401022853696e-12	1.442736280053e-07	-4.322798346905e-20	0.000000000000e+00
2.278645833333e+00	6.095509708716e-01	4.517446654210e+00	-4.335682389636e-12	-1.418899528764e-07	-3.976102000244e-20	0.000000000000e+00
2.369791666667e+00	6.095134871667e-01	4.498356043582e+00	2.273079258949e-12	1.395538421987e-07	-5.292046600905e-20	0.000000000000e+00
2.460937500000e+00	6.095367155639e-01	4.479361936758e+00	-2.127608954508e-13	-1.372635985721e-07	-7.547786628781e-20	0.000000000000e+00
2.552083333333e+00	6.094940238813e-01	4.460322708287e+00	-1.845723078110e-12	1.350176015283e-07	-8.803448445209e-20	0.000000000000e+00
2.643229166667e+00	6.095122251719e-01	4.441380167484e+00	3.902818048221e-12	-1.328143031920e-07	-7.831845742011e-20	0.000000000000e+00
2.734375000000e+00	6.094588246772e-01	4.422386820226e+00	-5.958965115762e-12	1.306522242399e-07	-5.772028464858e-20	0.000000000000e+00
2.825520833333e+00	6.094657704512e-01	4.403489617154e+00	8.014607246137e-12	-1.285299501281e-07	-6.472869510059e-20	0.000000000000e+00
2.916666666667e+00	6.093957031741e-01	4.384536192999e+00	-1.007017967798e-11	1.264461275401e-07	-5.315280127920e-20	0.000000000000e+00
3.007812500000e+00	6.093818666674e-01	4.365674801046e+00	1.212612008446e-11	-1.243994610971e-07	-7.876861626089e-20	0.000000000000e+00
3.098958333333e+00	6.092790353238e-01	4.346745202549e+00	-1.418286331559e-11	1.223887102531e-07	-8.227408015468e-20	0.000000000000e+00
3.190104166667e+00	6.092236122508e-01	4.327898817618e+00	1.624084348714e-11	-1.204126863824e-07	-9.014193860397e-20	0.000000000000e+00
3.281250000000e+00	6.090627495517e-01	4.308967777280e+00	-1.830049416055e-11	1.184702500801e-07	-7.277039778639e-20	0.000000000000e+00
3.372395833333e+00	6.089299767197e-01	4.290100636404e+00	2.036225012561e-11	-1.165603085979e-07	-8.754256745575e-20	0.000000000000e+00
3.463541666667e+00	6.086588860899e-01	4.271115957394e+00	-2.242654511702e-11	1.146818134216e-07	-8.677929648708e-20	0.000000000000e+00
3.554687500000e+00	6.083781463509e-01	4.252157443714e+00	2.449381522027e-11	-1.128337581163e-07	-9.217912947623e-20	0.000000000000e+00
3.645833333333e+00	6.079033196655e-01	4.233025617584e+00	-2.656449674321e-11	1.110151758110e-07	-1.040013519923e-19	0.000000000000e+00
