stage	seconds
read_config	0.001033
read_chgcar	3.147670
read_phi_ref	3.180610
read_rhob_ref	3.187606
read_rhoion_ref	4.101317
build_grid_and_valence_array	0.003792
read_potcar	0.030579
prepare_positions_counts_zvals	0.001567
solute_potential_and_dencor:solute_fft_valence	0.114946
solute_potential_and_dencor:solute_structure_factors	0.663654
solute_potential_and_dencor:solute_dencor	2.132326
solute_potential_and_dencor:solute_hartree	0.184231
solute_potential_and_dencor:solute_local_potential	1.843574
solute_ifft_cvhar	0.061088
solute_build_electron_density	0.054151
derive_solvation_params	0.072264
create_cavity:cavity_vdw_shape	0.373031
create_cavity:cavity_kernels	0.861459
create_cavity:cavity_ion	0.534708
create_cavity:cavity_solv	0.560543
create_cavity:cavity_cav	0.011231
create_cavity:cavity_diel	0.602444
create_cavity:cavity_vacuum_mask	0.741125
