z_A	PHI_DFT_eV	PHI_py_eV	RHOB_DFT_e_A3	RHOB_py_e_A3	RHOION_DFT_e_A3	RHOION_py_e_A3
0.000000000000e+00	3.080803032915e-01	3.084660630087e-01	5.809771915855e-11	7.938413162734e-11	-5.771628652748e-20	0.000000000000e+00
9.114583333333e-02	4.244352114403e-01	4.250385912580e-01	-5.580949758769e-11	-7.668977269804e-11	-4.394438757167e-20	0.000000000000e+00
1.822916666667e-01	5.221680455153e-01	5.229464930128e-01	5.353777873140e-11	7.402382070877e-11	-2.888005889155e-20	0.000000000000e+00
2.734375000000e-01	5.869766051518e-01	5.878754510810e-01	-5.128180008496e-11	-7.138495329410e-11	-9.292344638876e-20	0.000000000000e+00
3.645833333333e-01	6.095452532815e-01	6.104773999270e-01	4.904082044303e-11	6.877190401937e-11	-7.191524406776e-20	0.000000000000e+00
4.557291666667e-01	6.095664065340e-01	6.104967549154e-01	-4.681412718619e-11	-6.618346540165e-11	-7.185068181300e-20	0.000000000000e+00
5.468750000000e-01	6.095445182871e-01	6.104655626407e-01	4.460102714954e-11	6.361847854599e-11	-3.955681965997e-20	0.000000000000e+00
6.380208333333e-01	6.095662457330e-01	6.104854938082e-01	-4.240084688805e-11	-6.107583423640e-11	-4.099170096491e-20	0.000000000000e+00
7.291666666667e-01	6.095440631934e-01	6.104540083408e-01	4.021293409686e-11	5.855446567692e-11	-3.421444115446e-20	0.000000000000e+00
8.203125000000e-01	6.095668333725e-01	6.104749842584e-01	-3.803665573654e-11	-5.605335115609e-11	-5.117654473704e-20	0.000000000000e+00
9.114583333333e-01	6.095431790059e-01	6.104420280317e-01	3.587139078392e-11	5.357150380899e-11	-6.479503429836e-20	0.000000000000e+00
1.002604166667e+00	6.095665060250e-01	6.104635628400e-01	-3.371654169721e-11	-5.110797715580e-11	-4.120256484293e-20	0.000000000000e+00
1.093750000000e+00	6.095424873323e-01	6.104302433193e-01	3.157151867944e-11	4.866185568212e-11	-6.451842353701e-20	0.000000000000e+00
