z_A	PHI_DFT_eV	PHI_py_eV	RHOB_DFT_e_A3	RHOB_py_e_A3	RHOION_DFT_e_A3	RHOION_py_e_A3
0.000000000000e+00	3.080803032915e-01	2.604767788633e-01	5.809771915855e-11	7.938486742286e-11	-5.771628652748e-20	0.000000000000e+00
9.114583333333e-02	4.244352114403e-01	3.452258532032e-01	-5.580949758769e-11	-7.674065417728e-11	-4.394438757167e-20	0.000000000000e+00
1.822916666667e-01	5.221680455153e-01	4.165207270190e-01	5.353777873140e-11	7.412477024879e-11	-2.888005889155e-20	0.000000000000e+00
2.734375000000e-01	5.869766051518e-01	4.640799110268e-01	-5.128180008496e-11	-7.153590295978e-11	-9.292344638876e-20	0.000000000000e+00
3.645833333333e-01	6.095452532815e-01	4.811446916717e-01	4.904082044303e-11	6.897280297242e-11	-7.191524406776e-20	0.000000000000e+00
4.557291666667e-01	6.095664065340e-01	4.819608512260e-01	-4.681412718619e-11	-6.643427493102e-11	-7.185068181300e-20	0.000000000000e+00
5.468750000000e-01	6.095445182871e-01	4.827264635145e-01	4.460102714954e-11	6.391917460828e-11	-3.955681965997e-20	0.000000000000e+00
6.380208333333e-01	6.095662457330e-01	4.835431992477e-01	-4.240084688805e-11	-6.142640479628e-11	-4.099170096491e-20	0.000000000000e+00
7.291666666667e-01	6.095440631934e-01	4.843085183438e-01	4.021293409686e-11	5.895491226548e-11	-3.421444115446e-20	0.000000000000e+00
8.203125000000e-01	6.095668333725e-01	4.851262988266e-01	-3.803665573654e-11	-5.650368845900e-11	-5.117654473704e-20	0.000000000000e+00
9.114583333333e-01	6.095431790059e-01	4.858901471639e-01	3.587139078392e-11	5.407175948839e-11	-6.479503429836e-20	0.000000000000e+00
1.002604166667e+00	6.095665060250e-01	4.867084865369e-01	-3.371654169721e-11	-5.165819031866e-11	-4.120256484293e-20	0.000000000000e+00
1.093750000000e+00	6.095424873323e-01	4.874719715807e-01	3.157151867944e-11	4.926207841760e-11	-6.451842353701e-20	0.000000000000e+00
1.184895833333e+00	6.095668916350e-01	4.882913903262e-01	-2.943575168851e-11	-4.688255365323e-11	-4.247396741092e-20	0.000000000000e+00
1.276041666667e+00	6.095412777721e-01	4.890532811909e-01	2.730867942594e-11	4.451877737959e-11	-3.159952175679e-20	0.000000000000e+00
1.367187500000e+00	6.095662119562e-01	4.898732319497e-01	-2.518975746016e-11	-4.216993165969e-11	-5.346050853954e-20	0.000000000000e+00
1.458333333333e+00	6.095401315527e-01	4.906346572188e-01	2.307844750803e-11	3.983523618148e-11	-5.626452426600e-20	0.000000000000e+00
1.549479166667e+00	6.095661061401e-01	4.914556505619e-01	-2.097422706693e-11	-3.751392125057e-11	-5.845282931492e-20	0.000000000000e+00
1.640625000000e+00	6.095381583112e-01	4.922152092989e-01	1.887658087004e-11	3.520525256106e-11	-8.144158245656e-20	0.000000000000e+00
1.731770833333e+00	6.095644350143e-01	4.930365069946e-01	-1.678500289195e-11	-3.290850733358e-11	-8.637008137000e-20	0.000000000000e+00
1.822916666667e+00	6.095356658659e-01	4.937952452467e-01	1.469899679396e-11	3.062298798893e-11	-2.764567596496e-20	0.000000000000e+00
1.914062500000e+00	6.095626467705e-01	4.946172494443e-01	-1.261807466435e-11	-2.834801338655e-11	-8.060212506561e-20	0.000000000000e+00
2.005208333333e+00	6.095313717593e-01	4.953734825982e-01	1.054175279420e-11	2.608292106993e-11	-6.837379708218e-20	0.000000000000e+00
2.096354166667e+00	6.095579602529e-01	4.961950967582e-01	-8.469558907446e-12	-2.382706326655e-11	-9.501135416956e-20	0.000000000000e+00
2.187500000000e+00	6.095248823804e-01	4.969495277368e-01	6.401022853696e-12	2.157980596418e-11	-4.322798346905e-20	0.000000000000e+00
2.278645833333e+00	6.095509708716e-01	4.977706443529e-01	-4.335682389636e-12	-1.934053453635e-11	-3.976102000244e-20	0.000000000000e+00
2.369791666667e+00	6.095134871667e-01	4.985206700952e-01	2.273079258949e-12	1.710864100017e-11	-5.292046600905e-20	0.000000000000e+00
2.460937500000e+00	6.095367155639e-01	4.993389291753e-01	-2.127608954508e-13	-1.488353276399e-11	-7.547786628781e-20	0.000000000000e+00
2.552083333333e+00	6.094940238813e-01	5.000837474287e-01	-1.845723078110e-12	1.266462783426e-11	-8.803448445209e-20	0.000000000000e+00
2.643229166667e+00	6.095122251719e-01	5.008969820759e-01	3.902818048221e-12	-1.045135423554e-11	-7.831845742011e-20	0.000000000000e+00
2.734375000000e+00	6.094588246772e-01	5.016310918790e-01	-5.958965115762e-12	8.243150679161e-12	-5.772028464858e-20	0.000000000000e+00
2.825520833333e+00	6.094657704512e-01	5.024330738184e-01	8.014607246137e-12	-6.039461766135e-12	-6.472869510059e-20	0.000000000000e+00
2.916666666667e+00	6.093957031741e-01	5.031505170486e-01	-1.007017967798e-11	3.839742895789e-12	-5.315280127920e-20	0.000000000000e+00
3.007812500000e+00	6.093818666674e-01	5.039317196828e-01	1.212612008446e-11	-1.643455297590e-12	-7.876861626089e-20	0.000000000000e+00
3.098958333333e+00	6.092790353238e-01	5.046163988810e-01	-1.418286331559e-11	-5.499326253223e-13	-8.227408015468e-20	0.000000000000e+00
3.190104166667e+00	6.092236122508e-01	5.053560181243e-01	1.624084348714e-11	2.740947493530e-12	-9.014193860397e-20	0.000000000000e+00
3.281250000000e+00	6.090627495517e-01	5.059826657789e-01	-1.830049416055e-11	-4.930110699403e-12	-7.277039778639e-20	0.000000000000e+00
3.372395833333e+00	6.089299767197e-01	5.066449386780e-01	2.036225012561e-11	7.117937488249e-12	-8.754256745575e-20	0.000000000000e+00
3.463541666667e+00	6.086588860899e-01	5.071613579470e-01	-2.242654511702e-11	-9.304941658140e-12	-8.677929648708e-20	0.000000000000e+00
