z_A	PHI_DFT_eV	PHI_py_eV	RHOB_DFT_e_A3	RHOB_py_e_A3	RHOION_DFT_e_A3	RHOION_py_e_A3
0.000000000000e+00	3.080803032915e-01	2.600727335004e-01	5.809771915855e-11	9.409381340769e-11	-5.771628652748e-20	0.000000000000e+00
9.114583333333e-02	4.244352114403e-01	3.448041718840e-01	-5.580949758769e-11	-8.936043196243e-11	-4.394438757167e-20	0.000000000000e+00
1.822916666667e-01	5.221680455153e-01	4.160814828731e-01	5.353777873140e-11	8.466304696025e-11	-2.888005889155e-20	0.000000000000e+00
2.734375000000e-01	5.869766051518e-01	4.636232337401e-01	-5.128180008496e-11	-7.999974534339e-11	-9.292344638876e-20	0.000000000000e+00
3.645833333333e-01	6.095452532815e-01	4.806707473121e-01	4.904082044303e-11	7.536869520188e-11	-7.191524406776e-20	0.000000000000e+00
4.557291666667e-01	6.095664065340e-01	4.814697286403e-01	-4.681412718619e-11	-7.076813723505e-11	-7.185068181300e-20	0.000000000000e+00
5.468750000000e-01	6.095445182871e-01	4.822181627490e-01	4.460102714954e-11	6.619638242276e-11	-3.955681965997e-20	0.000000000000e+00
6.380208333333e-01	6.095662457330e-01	4.830177202494e-01	-4.240084688805e-11	-6.165180375959e-11	-4.099170096491e-20	0.000000000000e+00
7.291666666667e-01	6.095440631934e-01	4.837658611708e-01	4.021293409686e-11	5.713283457652e-11	-3.421444115446e-20	0.000000000000e+00
8.203125000000e-01	6.095668333725e-01	4.845664634118e-01	-3.803665573654e-11	-5.263796314925e-11	-5.117654473704e-20	0.000000000000e+00
9.114583333333e-01	6.095431790059e-01	4.853131335855e-01	3.587139078392e-11	4.816572879601e-11	-6.479503429836e-20	0.000000000000e+00
1.002604166667e+00	6.095665060250e-01	4.861142947107e-01	-3.371654169721e-11	-4.371471898250e-11	-4.120256484293e-20	0.000000000000e+00
1.093750000000e+00	6.095424873323e-01	4.868606015959e-01	3.157151867944e-11	3.928356552456e-11	-6.451842353701e-20	0.000000000000e+00
1.184895833333e+00	6.095668916350e-01	4.876628420846e-01	-2.943575168851e-11	-3.487094035043e-11	-4.247396741092e-20	0.000000000000e+00
1.276041666667e+00	6.095412777721e-01	4.884075548024e-01	2.730867942594e-11	3.047555669651e-11	-3.159952175679e-20	0.000000000000e+00
1.367187500000e+00	6.095662119562e-01	4.892103272986e-01	-2.518975746016e-11	-2.609615983456e-11	-5.346050853954e-20	0.000000000000e+00
1.458333333333e+00	6.095401315527e-01	4.899545744261e-01	2.307844750803e-11	2.173153065914e-11	-5.626452426600e-20	0.000000000000e+00
1.549479166667e+00	6.095661061401e-01	4.907583894983e-01	-2.097422706693e-11	-1.738047998124e-11	-5.845282931492e-20	0.000000000000e+00
1.640625000000e+00	6.095381583112e-01	4.915007701065e-01	1.887658087004e-11	1.304184798285e-11	-8.144158245656e-20	0.000000000000e+00
1.731770833333e+00	6.095644350143e-01	4.923048895271e-01	-1.678500289195e-11	-8.714497776290e-12	-8.637008137000e-20	0.000000000000e+00
1.822916666667e+00	6.095356658659e-01	4.930464496574e-01	1.469899679396e-11	4.397323607114e-12	-2.764567596496e-20	0.000000000000e+00
1.914062500000e+00	6.095626467705e-01	4.938512755735e-01	-1.261807466435e-11	-8.923407070790e-14	-8.060212506561e-20	0.000000000000e+00
2.005208333333e+00	6.095313717593e-01	4.945903306216e-01	1.054175279420e-11	-4.210834733724e-12	-6.837379708218e-20	0.000000000000e+00
2.096354166667e+00	6.095579602529e-01	4.953947665000e-01	-8.469558907446e-12	8.503931371128e-12	-9.501135416956e-20	0.000000000000e+00
2.187500000000e+00	6.095248823804e-01	4.961320193849e-01	6.401022853696e-12	-1.279108581882e-11	-4.322798346905e-20	0.000000000000e+00
2.278645833333e+00	6.095509708716e-01	4.969359577199e-01	-4.335682389636e-12	1.707331352596e-11	-3.976102000244e-20	0.000000000000e+00
2.369791666667e+00	6.095134871667e-01	4.976688053946e-01	2.273079258949e-12	-2.135161294851e-11	-5.292046600905e-20	0.000000000000e+00
2.460937500000e+00	6.095367155639e-01	4.984698862072e-01	-2.127608954508e-13	2.562697150733e-11	-7.547786628781e-20	0.000000000000e+00
2.552083333333e+00	6.094940238813e-01	4.991975264234e-01	-1.845723078110e-12	-2.990036510567e-11	-8.803448445209e-20	0.000000000000e+00
2.643229166667e+00	6.095122251719e-01	4.999935828284e-01	3.902818048221e-12	3.417275869559e-11	-7.831845742011e-20	0.000000000000e+00
2.734375000000e+00	6.094588246772e-01	5.007105146548e-01	-5.958965115762e-12	-3.844510669754e-11	-5.772028464858e-20	0.000000000000e+00
2.825520833333e+00	6.094657704512e-01	5.014953184114e-01	8.014607246137e-12	4.271835967183e-11	-6.472869510059e-20	0.000000000000e+00
2.916666666667e+00	6.093957031741e-01	5.021955837577e-01	-1.007017967798e-11	-4.699345733244e-11	-5.315280127920e-20	0.000000000000e+00
