z_A	PHI_DFT_eV	PHI_py_eV	RHOB_DFT_e_A3	RHOB_py_e_A3	RHOION_DFT_e_A3	RHOION_py_e_A3
0.000000000000e+00	3.080803032915e-01	-4.260936589487e+00	5.809771915855e-11	4.943392208084e-08	-5.771628652748e-20	0.000000000000e+00
9.114583333333e-02	4.244352114403e-01	-4.211139608935e+00	-5.580949758769e-11	-4.839655361576e-08	-4.394438757167e-20	0.000000000000e+00
1.822916666667e-01	5.221680455153e-01	-4.161048185811e+00	5.353777873140e-11	4.739398236592e-08	-2.888005889155e-20	0.000000000000e+00
2.734375000000e-01	5.869766051518e-01	-4.110567039571e+00	-5.128180008496e-11	-4.642438693694e-08	-9.292344638876e-20	0.000000000000e+00
3.645833333333e-01	6.095452532815e-01	-4.059792267331e+00	4.904082044303e-11	4.548606857369e-08	-7.191524406776e-20	0.000000000000e+00
4.557291666667e-01	6.095664065340e-01	-4.008626510752e+00	-4.681412718619e-11	-4.457744117701e-08	-7.185068181300e-20	0.000000000000e+00
5.468750000000e-01	6.095445182871e-01	-3.957169492087e+00	4.460102714954e-11	4.369702221093e-08	-3.955681965997e-20	0.000000000000e+00
6.380208333333e-01	6.095662457330e-01	-3.905319551375e+00	-4.240084688805e-11	-4.284342448731e-08	-4.099170096491e-20	0.000000000000e+00
7.291666666667e-01	6.095440631934e-01	-3.853179218142e+00	4.021293409686e-11	4.201534871324e-08	-3.421444115446e-20	0.000000000000e+00
8.203125000000e-01	6.095668333725e-01	-3.800644624732e+00	-3.803665573654e-11	-4.121157669965e-08	-5.117654473704e-20	0.000000000000e+00
9.114583333333e-01	6.095431790059e-01	-3.747822154493e+00	3.587139078392e-11	4.043096519912e-08	-6.479503429836e-20	0.000000000000e+00
1.002604166667e+00	6.095665060250e-01	-3.694603394249e+00	-3.371654169721e-11	-3.967244027807e-08	-4.120256484293e-20	0.000000000000e+00
1.093750000000e+00	6.095424873323e-01	-3.641097679534e+00	3.157151867944e-11	3.893499218338e-08	-6.451842353701e-20	0.000000000000e+00
1.184895833333e+00	6.095668916350e-01	-3.587194231980e+00	-2.943575168851e-11	-3.821767065912e-08	-4.247396741092e-20	0.000000000000e+00
1.276041666667e+00	6.095412777721e-01	-3.533006503668e+00	2.730867942594e-11	3.751958066768e-08	-3.159952175679e-20	0.000000000000e+00
1.367187500000e+00	6.095662119562e-01	-3.478418916167e+00	-2.518975746016e-11	-3.683987844268e-08	-5.346050853954e-20	0.000000000000e+00
1.458333333333e+00	6.095401315527e-01	-3.423548045672e+00	2.307844750803e-11	3.617776791213e-08	-5.626452426600e-20	0.000000000000e+00
1.549479166667e+00	6.095661061401e-01	-3.368275807658e+00	-2.097422706693e-11	-3.553249738638e-08	-5.845282931492e-20	0.000000000000e+00
1.640625000000e+00	6.095381583112e-01	-3.312723195911e+00	1.887658087004e-11	3.490335651527e-08	-8.144158245656e-20	0.000000000000e+00
1.731770833333e+00	6.095644350143e-01	-3.256767045618e+00	-1.678500289195e-11	-3.428967351286e-08	-8.637008137000e-20	0.000000000000e+00
1.822916666667e+00	6.095356658659e-01	-3.200531646570e+00	1.469899679396e-11	3.369081257599e-08	-2.764567596496e-20	0.000000000000e+00
1.914062500000e+00	6.095626467705e-01	-3.143891181853e+00	-1.261807466435e-11	-3.310617150791e-08	-8.060212506561e-20	0.000000000000e+00
2.005208333333e+00	6.095313717593e-01	-3.086974680112e+00	1.054175279420e-11	3.253517955514e-08	-6.837379708218e-20	0.000000000000e+00
2.096354166667e+00	6.095579602529e-01	-3.029650997515e+00	-8.469558907446e-12	-3.197729535985e-08	-9.501135416956e-20	0.000000000000e+00
2.187500000000e+00	6.095248823804e-01	-2.972052690156e+00	6.401022853696e-12	3.143200511928e-08	-4.322798346905e-20	0.000000000000e+00
2.278645833333e+00	6.095509708716e-01	-2.914045897186e+00	-4.335682389636e-12	-3.089882082560e-08	-3.976102000244e-20	0.000000000000e+00
