z_A	PHI_DFT_eV	PHI_py_eV	RHOB_DFT_e_A3	RHOB_py_e_A3	RHOION_DFT_e_A3	RHOION_py_e_A3
0.000000000000e+00	3.080803032915e-01	-8.934540425046e-01	5.809771915855e-11	6.838324446501e-08	-5.771628652748e-20	0.000000000000e+00
9.114583333333e-02	4.244352114403e-01	-8.817668604474e-01	-5.580949758769e-11	-6.700561646543e-08	-4.394438757167e-20	0.000000000000e+00
1.822916666667e-01	5.221680455153e-01	-8.700161314155e-01	5.353777873140e-11	6.567068872506e-08	-2.888005889155e-20	0.000000000000e+00
2.734375000000e-01	5.869766051518e-01	-8.581065586722e-01	-5.128180008496e-11	-6.437635366257e-08	-9.292344638876e-20	0.000000000000e+00
3.645833333333e-01	6.095452532815e-01	-8.461342552137e-01	4.904082044303e-11	6.312063753797e-08	-7.191524406776e-20	0.000000000000e+00
4.557291666667e-01	6.095664065340e-01	-8.340018471229e-01	-4.681412718619e-11	-6.190169011962e-08	-7.185068181300e-20	0.000000000000e+00
5.468750000000e-01	6.095445182871e-01	-8.218090719368e-01	4.460102714954e-11	6.071777524905e-08	-3.955681965997e-20	0.000000000000e+00
6.380208333333e-01	6.095662457330e-01	-8.094542546956e-01	-4.240084688805e-11	-5.956726226342e-08	-4.099170096491e-20	0.000000000000e+00
7.291666666667e-01	6.095440631934e-01	-7.970399396495e-01	4.021293409686e-11	5.844861816611e-08	-3.421444115446e-20	0.000000000000e+00
8.203125000000e-01	6.095668333725e-01	-7.844622446844e-01	-3.803665573654e-11	-5.736040047311e-08	-5.117654473704e-20	0.000000000000e+00
9.114583333333e-01	6.095431790059e-01	-7.718275673472e-01	3.587139078392e-11	5.630125067191e-08	-6.479503429836e-20	0.000000000000e+00
1.002604166667e+00	6.095665060250e-01	-7.590274805154e-01	-3.371654169721e-11	-5.526988824048e-08	-4.120256484293e-20	0.000000000000e+00
1.093750000000e+00	6.095424873323e-01	-7.461713334238e-01	3.157151867944e-11	5.426510515197e-08	-6.451842353701e-20	0.000000000000e+00
1.184895833333e+00	6.095668916350e-01	-7.331483342411e-01	-2.943575168851e-11	-5.328576085118e-08	-4.247396741092e-20	0.000000000000e+00
1.276041666667e+00	6.095412777721e-01	-7.200719482827e-01	2.730867942594e-11	5.233077760983e-08	-3.159952175679e-20	0.000000000000e+00
1.367187500000e+00	6.095662119562e-01	-7.068265841063e-01	-2.518975746016e-11	-5.139913629182e-08	-5.346050853954e-20	0.000000000000e+00
1.458333333333e+00	6.095401315527e-01	-6.935288306994e-01	2.307844750803e-11	5.048987242264e-08	-5.626452426600e-20	0.000000000000e+00
