z_A	PHI_DFT_eV	PHI_py_eV	RHOB_DFT_e_A3	RHOB_py_e_A3	RHOION_DFT_e_A3	RHOION_py_e_A3
0.000000000000e+00	3.080803032915e-01	5.368977038234e+00	5.809771915855e-11	-3.387466396797e-08	-5.771628652748e-20	0.000000000000e+00
9.114583333333e-02	4.244352114403e-01	5.364656799028e+00	-5.580949758769e-11	3.322975190552e-08	-4.394438757167e-20	0.000000000000e+00
1.822916666667e-01	5.221680455153e-01	5.360290979903e+00	5.353777873140e-11	-3.260330103886e-08	-2.888005889155e-20	0.000000000000e+00
2.734375000000e-01	5.869766051518e-01	5.355974835658e+00	-5.128180008496e-11	3.199445931672e-08	-9.292344638876e-20	0.000000000000e+00
3.645833333333e-01	6.095452532815e-01	5.351612294429e+00	4.904082044303e-11	-3.140242541585e-08	-7.191524406776e-20	0.000000000000e+00
4.557291666667e-01	6.095664065340e-01	5.347300689782e+00	-4.681412718619e-11	3.082644504789e-08	-7.185068181300e-20	0.000000000000e+00
5.468750000000e-01	6.095445182871e-01	5.342940323772e+00	4.460102714954e-11	-3.026580758551e-08	-3.955681965997e-20	0.000000000000e+00
6.380208333333e-01	6.095662457330e-01	5.338632832505e+00	-4.240084688805e-11	2.971984294500e-08	-4.099170096491e-20	0.000000000000e+00
7.291666666667e-01	6.095440631934e-01	5.334275709868e+00	4.021293409686e-11	-2.918791879511e-08	-3.421444115446e-20	0.000000000000e+00
8.203125000000e-01	6.095668333725e-01	5.329972800533e+00	-3.803665573654e-11	2.866943789752e-08	-5.117654473704e-20	0.000000000000e+00
9.114583333333e-01	6.095431790059e-01	5.325617743718e+00	3.587139078392e-11	-2.816383575905e-08	-6.479503429836e-20	0.000000000000e+00
1.002604166667e+00	6.095665060250e-01	5.321318930442e+00	-3.371654169721e-11	2.767057839699e-08	-4.120256484293e-20	0.000000000000e+00
1.093750000000e+00	6.095424873323e-01	5.316967046930e+00	3.157151867944e-11	-2.718916033428e-08	-6.451842353701e-20	0.000000000000e+00
1.184895833333e+00	6.095668916350e-01	5.312672850180e+00	-2.943575168851e-11	2.671910270888e-08	-4.247396741092e-20	0.000000000000e+00
1.276041666667e+00	6.095412777721e-01	5.308322909098e+00	2.730867942594e-11	-2.625995156975e-08	-3.159952175679e-20	0.000000000000e+00
1.367187500000e+00	6.095662119562e-01	5.304032781502e+00	-2.518975746016e-11	2.581127625114e-08	-5.346050853954e-20	0.000000000000e+00
1.458333333333e+00	6.095401315527e-01	5.299685911447e+00	2.307844750803e-11	-2.537266793921e-08	-5.626452426600e-20	0.000000000000e+00
1.549479166667e+00	6.095661061401e-01	5.295400363564e+00	-2.097422706693e-11	2.494373826352e-08	-5.845282931492e-20	0.000000000000e+00
1.640625000000e+00	6.095381583112e-01	5.291055163611e+00	1.887658087004e-11	-2.452411806619e-08	-8.144158245656e-20	0.000000000000e+00
1.731770833333e+00	6.095644350143e-01	5.286773457198e+00	-1.678500289195e-11	2.411345622170e-08	-8.637008137000e-20	0.000000000000e+00
1.822916666667e+00	6.095356658659e-01	5.282430973404e+00	1.469899679396e-11	-2.371141851757e-08	-2.764567596496e-20	0.000000000000e+00
1.914062500000e+00	6.095626467705e-01	5.278153510600e+00	-1.261807466435e-11	2.331768670133e-08	-8.060212506561e-20	0.000000000000e+00
2.005208333333e+00	6.095313717593e-01	5.273812058363e+00	1.054175279420e-11	-2.293195748729e-08	-6.837379708218e-20	0.000000000000e+00
2.096354166667e+00	6.095579602529e-01	5.269537742619e+00	-8.469558907446e-12	2.255394171198e-08	-9.501135416956e-20	0.000000000000e+00
2.187500000000e+00	6.095248823804e-01	5.265198024870e+00	6.401022853696e-12	-2.218336349786e-08	-4.322798346905e-20	0.000000000000e+00
2.278645833333e+00	6.095509708716e-01	5.260926748671e+00	-4.335682389636e-12	2.181995952822e-08	-3.976102000244e-20	0.000000000000e+00
2.369791666667e+00	6.095134871667e-01	5.256586162358e+00	2.273079258949e-12	-2.146347828863e-08	-5.292046600905e-20	0.000000000000e+00
2.460937500000e+00	6.095367155639e-01	5.252315565703e+00	-2.127608954508e-13	2.111367946674e-08	-7.547786628781e-20	0.000000000000e+00
2.552083333333e+00	6.094940238813e-01	5.247973308581e+00	-1.845723078110e-12	-2.077033326904e-08	-8.803448445209e-20	0.000000000000e+00
