label	seconds	count	seconds_per_call
l_op_ekappa_fft	2.929748	14	0.209268
l_op_total	19.121011	14	1.365787
lapl_tensor_dot	1.468032	14	0.104859
lapl_tensor_grad_ifft	3.703497	14	0.264536
lapl_tensor_total	14.733290	14	1.052378
lapl_tensor_work_build	1.999576	42	0.047609
lapl_tensor_work_fft	7.325666	42	0.174421
minimize_l_total	22.685319	2	11.342659
nlpb_bound_fft	3.225348	5	0.645070
nlpb_dielectric_scalar	1.271890	5	0.254378
nlpb_ekappa2	0.522583	2	0.261291
nlpb_fft_phi	0.579895	5	0.115979
nlpb_grad	2.063076	5	0.412615
nlpb_ion	1.996299	5	0.399260
nlpb_local_field_factor	2.307448	5	0.461490
nlpb_response	0.838471	2	0.419235
nlpb_scale_field	0.324880	5	0.064976
nlpb_total_no_response	7.839423	3	2.613141
nlpb_total_response	5.291544	2	2.645772
