label	seconds	count	seconds_per_call
l_op_ekappa_fft	2.961641	14	0.211546
l_op_total	18.549844	14	1.324989
lapl_tensor_dot	1.306691	14	0.093335
lapl_tensor_grad_ifft	3.554037	14	0.253860
lapl_tensor_total	14.168853	14	1.012061
lapl_tensor_work_build	1.954097	42	0.046526
lapl_tensor_work_fft	7.111004	42	0.169310
minimize_l_total	22.020192	2	11.010096
nlpb_bound_fft	2.990760	5	0.598152
nlpb_dielectric_scalar	1.280763	5	0.256153
nlpb_ekappa2	0.497624	2	0.248812
nlpb_fft_phi	0.563849	5	0.112770
nlpb_grad	1.999951	5	0.399990
nlpb_ion	1.837319	5	0.367464
nlpb_local_field_factor	138.545786	5	27.709157
nlpb_response	0.846472	2	0.423236
nlpb_scale_field	0.300138	5	0.060028
nlpb_total_no_response	109.616825	3	36.538942
nlpb_total_response	39.246970	2	19.623485
