z_A	PHI_DFT_eV	PHI_py_eV	RHOB_DFT_e_A3	RHOB_py_e_A3	RHOION_DFT_e_A3	RHOION_py_e_A3
0.000000000000e+00	3.080803032915e-01	2.689839911176e-01	5.809771915855e-11	2.344101638977e-10	-5.771628652748e-20	0.000000000000e+00
9.114583333333e-02	4.244352114403e-01	3.535923011850e-01	-5.580949758769e-11	-2.243828266920e-10	-4.394438757167e-20	0.000000000000e+00
1.822916666667e-01	5.221680455153e-01	4.247468617011e-01	5.353777873140e-11	2.144839241627e-10	-2.888005889155e-20	0.000000000000e+00
2.734375000000e-01	5.869766051518e-01	4.721665269137e-01	-5.128180008496e-11	-2.047066292511e-10	-9.292344638876e-20	0.000000000000e+00
3.645833333333e-01	6.095452532815e-01	4.890928103706e-01	4.904082044303e-11	1.950444832608e-10	-7.191524406776e-20	0.000000000000e+00
4.557291666667e-01	6.095664065340e-01	4.897710165340e-01	-4.681412718619e-11	-1.854913695905e-10	-7.185068181300e-20	0.000000000000e+00
5.468750000000e-01	6.095445182871e-01	4.903986774677e-01	4.460102714954e-11	1.760414847733e-10	-3.955681965997e-20	0.000000000000e+00
6.380208333333e-01	6.095662457330e-01	4.910774598045e-01	-4.240084688805e-11	-1.666893160555e-10	-4.099170096491e-20	0.000000000000e+00
7.291666666667e-01	6.095440631934e-01	4.917048275421e-01	4.021293409686e-11	1.574296218673e-10	-3.421444115446e-20	0.000000000000e+00
8.203125000000e-01	6.095668333725e-01	4.923846546070e-01	-3.803665573654e-11	-1.482574107885e-10	-5.117654473704e-20	0.000000000000e+00
9.114583333333e-01	6.095431790059e-01	4.930105516217e-01	3.587139078392e-11	1.391679222502e-10	-6.479503429836e-20	0.000000000000e+00
1.002604166667e+00	6.095665060250e-01	4.936909375712e-01	-3.371654169721e-11	-1.301566102801e-10	-4.120256484293e-20	0.000000000000e+00
1.093750000000e+00	6.095424873323e-01	4.943164712916e-01	3.157151867944e-11	1.212191328012e-10	-6.451842353701e-20	0.000000000000e+00
1.184895833333e+00	6.095668916350e-01	4.949979365901e-01	-2.943575168851e-11	-1.123513280471e-10	-4.247396741092e-20	0.000000000000e+00
1.276041666667e+00	6.095412777721e-01	4.956218761724e-01	2.730867942594e-11	1.035492143383e-10	-3.159952175679e-20	0.000000000000e+00
1.367187500000e+00	6.095662119562e-01	4.963038734787e-01	-2.518975746016e-11	-9.480895946020e-11	-5.346050853954e-20	0.000000000000e+00
1.458333333333e+00	6.095401315527e-01	4.969273474688e-01	2.307844750803e-11	8.612689497884e-11	-5.626452426600e-20	0.000000000000e+00
1.549479166667e+00	6.095661061401e-01	4.976103873366e-01	-2.097422706693e-11	-7.749947813037e-11	-5.845282931492e-20	0.000000000000e+00
1.640625000000e+00	6.095381583112e-01	4.982319948451e-01	1.887658087004e-11	6.892330498751e-11	-8.144158245656e-20	0.000000000000e+00
1.731770833333e+00	6.095644350143e-01	4.989153390671e-01	-1.678500289195e-11	-6.039508699867e-11	-8.637008137000e-20	0.000000000000e+00
1.822916666667e+00	6.095356658659e-01	4.995361261066e-01	1.469899679396e-11	5.191164895547e-11	-2.764567596496e-20	0.000000000000e+00
1.914062500000e+00	6.095626467705e-01	5.002201768184e-01	-1.261807466435e-11	-4.346992020770e-11	-8.060212506561e-20	0.000000000000e+00
2.005208333333e+00	6.095313717593e-01	5.008384588319e-01	1.054175279420e-11	3.506692735908e-11	-6.837379708218e-20	0.000000000000e+00
2.096354166667e+00	6.095579602529e-01	5.015221195307e-01	-8.469558907446e-12	-2.669978630510e-11	-9.501135416956e-20	0.000000000000e+00
2.187500000000e+00	6.095248823804e-01	5.021385994180e-01	6.401022853696e-12	1.836569488382e-11	-4.322798346905e-20	0.000000000000e+00
2.278645833333e+00	6.095509708716e-01	5.028217626008e-01	-4.335682389636e-12	-1.006193315226e-11	-3.976102000244e-20	0.000000000000e+00
2.369791666667e+00	6.095134871667e-01	5.034338373881e-01	2.273079258949e-12	1.785849603069e-12	-5.292046600905e-20	0.000000000000e+00
2.460937500000e+00	6.095367155639e-01	5.041141431417e-01	-2.127608954508e-13	6.465142023922e-12	-7.547786628781e-20	0.000000000000e+00
2.552083333333e+00	6.094940238813e-01	5.047210106035e-01	-1.845723078110e-12	-1.469356023348e-11	-8.803448445209e-20	0.000000000000e+00
2.643229166667e+00	6.095122251719e-01	5.053962921033e-01	3.902818048221e-12	2.290187486175e-11	-7.831845742011e-20	0.000000000000e+00
2.734375000000e+00	6.094588246772e-01	5.059924514627e-01	-5.958965115762e-12	-3.109249486954e-11	-5.772028464858e-20	0.000000000000e+00
2.825520833333e+00	6.094657704512e-01	5.066564806423e-01	8.014607246137e-12	3.926778791639e-11	-6.472869510059e-20	0.000000000000e+00
2.916666666667e+00	6.093957031741e-01	5.072359739762e-01	-1.007017967798e-11	-4.743007554117e-11	-5.315280127920e-20	0.000000000000e+00
3.007812500000e+00	6.093818666674e-01	5.078792245571e-01	1.212612008446e-11	5.558163587916e-11	-7.876861626089e-20	0.000000000000e+00
3.098958333333e+00	6.092790353238e-01	5.084259549457e-01	-1.418286331559e-11	-6.372471543723e-11	-8.227408015468e-20	0.000000000000e+00
3.190104166667e+00	6.092236122508e-01	5.090276235388e-01	1.624084348714e-11	7.186152439850e-11	-9.014193860397e-20	0.000000000000e+00
3.281250000000e+00	6.090627495517e-01	5.095163243167e-01	-1.830049416055e-11	-7.999424511712e-11	-7.277039778639e-20	0.000000000000e+00
3.372395833333e+00	6.089299767197e-01	5.100406491665e-01	2.036225012561e-11	8.812503314234e-11	-8.754256745575e-20	0.000000000000e+00
3.463541666667e+00	6.086588860899e-01	5.104191252398e-01	-2.242654511702e-11	-9.625601890722e-11	-8.677929648708e-20	0.000000000000e+00
3.554687500000e+00	6.083781463509e-01	5.107954918636e-01	2.449381522027e-11	1.043893106431e-10	-9.217912947623e-20	0.000000000000e+00
3.645833333333e+00	6.079033196655e-01	5.109702379049e-01	-2.656449674321e-11	-1.125270573929e-10	-1.040013519923e-19	0.000000000000e+00
3.736979166667e+00	6.073451626361e-01	5.110692006306e-01	2.863902935121e-11	1.206709313400e-10	-1.202434975867e-19	0.000000000000e+00
3.828125000000e+00	6.064866439906e-01	5.108602663380e-01	-3.071785233970e-11	-1.288256741370e-10	-6.765702278327e-20	0.000000000000e+00
3.919270833333e+00	6.054063892892e-01	5.104371534598e-01	3.280141124575e-11	1.369772757739e-10	-8.465022286458e-20	0.000000000000e+00
4.010416666667e+00	6.038337805130e-01	5.095141511824e-01	-3.489015113046e-11	-1.452162234843e-10	-7.875106895078e-20	0.000000000000e+00
4.101562500000e+00	6.017773837334e-01	5.081149341325e-01	3.698452401426e-11	1.531024411012e-10	-9.253829403813e-20	0.000000000000e+00
4.192708333333e+00	5.988674201508e-01	5.058546193482e-01	-3.908498203330e-11	-1.626272825437e-10	-8.432622696208e-20	0.000000000000e+00
4.283854166667e+00	5.949869137365e-01	5.026313598027e-01	4.119198757913e-11	1.658109559338e-10	-1.103283048833e-19	0.000000000000e+00
4.375000000000e+00	5.895936078417e-01	4.978877824197e-01	-4.330599943445e-11	-1.909958750419e-10	-1.887350171289e-20	0.000000000000e+00
4.466145833333e+00	5.823304135813e-01	4.912819555449e-01	4.542749226598e-11	1.496033740999e-10	-1.530717752842e-20	0.000000000000e+00
4.557291666667e+00	5.723345035490e-01	4.819359234152e-01	-4.755693706384e-11	-2.848791933654e-10	-1.306571227429e-20	0.000000000000e+00
4.648437500000e+00	5.588076345037e-01	4.690666405660e-01	4.969481799198e-11	8.917124430726e-12	1.738442365127e-22	0.000000000000e+00
4.739583333333e+00	5.403018792920e-01	4.512110418802e-01	-5.184162163683e-11	-5.795845912482e-10	-3.203664968359e-20	0.000000000000e+00
4.830729166667e+00	5.151880257063e-01	4.267551747323e-01	5.399784602223e-11	-4.050752564641e-10	-1.188182413882e-20	0.000000000000e+00
4.921875000000e+00	4.809129398740e-01	3.931307653030e-01	-5.616399298517e-11	-1.174084392179e-09	7.321818736984e-21	0.000000000000e+00
5.013020833333e+00	4.342675113090e-01	3.471440620898e-01	5.834057694511e-11	-1.006856073424e-09	1.696580554658e-20	0.000000000000e+00
5.104166666667e+00	3.705847196833e-01	2.841129205888e-01	-6.052811799128e-11	-1.563884866909e-09	6.845672107898e-21	0.000000000000e+00
5.195312500000e+00	2.836108667720e-01	1.977991700731e-01	6.272714900809e-11	-6.804472938012e-10	7.541752427171e-21	0.000000000000e+00
5.286458333333e+00	1.646502934096e-01	7.949207817884e-02	-6.493821022039e-11	-3.073752699456e-10	-2.802577513405e-20	0.000000000000e+00
5.377604166667e+00	1.667379469094e-03	-8.282815016283e-02	6.716185545191e-11	1.259158797971e-09	-1.151390443165e-20	0.000000000000e+00
5.468750000000e+00	-2.215681455387e-01	-3.054067466531e-01	-6.939864957459e-11	1.315183950614e-09	5.303729999730e-21	0.000000000000e+00
