z_A	RHOB_DFT_e_A3	RHOB_py_refphi_e_A3	RHOION_DFT_e_A3	RHOION_py_refphi_e_A3
0.000000000000e+00	5.809771915855e-11	7.928649170818e-11	-5.771628652748e-20	0.000000000000e+00
9.114583333333e-02	-5.580949758769e-11	-7.659077298645e-11	-4.394438757167e-20	0.000000000000e+00
1.822916666667e-01	5.353777873140e-11	7.392343158201e-11	-2.888005889155e-20	0.000000000000e+00
2.734375000000e-01	-5.128180008496e-11	-7.128314508749e-11	-9.292344638876e-20	0.000000000000e+00
3.645833333333e-01	4.904082044303e-11	6.866864790739e-11	-7.191524406776e-20	0.000000000000e+00
4.557291666667e-01	-4.681412718619e-11	-6.607873213919e-11	-7.185068181300e-20	0.000000000000e+00
5.468750000000e-01	4.460102714954e-11	6.351223985300e-11	-3.955681965997e-20	0.000000000000e+00
6.380208333333e-01	-4.240084688805e-11	-6.096806174890e-11	-4.099170096491e-20	0.000000000000e+00
7.291666666667e-01	4.021293409686e-11	5.844513124074e-11	-3.421444115446e-20	0.000000000000e+00
8.203125000000e-01	-3.803665573654e-11	-5.594242659605e-11	-5.117654473704e-20	0.000000000000e+00
9.114583333333e-01	3.587139078392e-11	5.345896094994e-11	-6.479503429836e-20	0.000000000000e+00
1.002604166667e+00	-3.371654169721e-11	-5.099378838902e-11	-4.120256484293e-20	0.000000000000e+00
1.093750000000e+00	3.157151867944e-11	4.854599276951e-11	-6.451842353701e-20	0.000000000000e+00
1.184895833333e+00	-2.943575168851e-11	-4.611469159837e-11	-4.247396741092e-20	0.000000000000e+00
1.276041666667e+00	2.730867942594e-11	4.369903219410e-11	-3.159952175679e-20	0.000000000000e+00
1.367187500000e+00	-2.518975746016e-11	-4.129818935807e-11	-5.346050853954e-20	0.000000000000e+00
1.458333333333e+00	2.307844750803e-11	3.891136220659e-11	-5.626452426600e-20	0.000000000000e+00
1.549479166667e+00	-2.097422706693e-11	-3.653777735982e-11	-5.845282931492e-20	0.000000000000e+00
1.640625000000e+00	1.887658087004e-11	3.417668086472e-11	-8.144158245656e-20	0.000000000000e+00
1.731770833333e+00	-1.678500289195e-11	-3.182734056570e-11	-8.637008137000e-20	0.000000000000e+00
1.822916666667e+00	1.469899679396e-11	2.948904688087e-11	-2.764567596496e-20	0.000000000000e+00
1.914062500000e+00	-1.261807466435e-11	-2.716110357118e-11	-8.060212506561e-20	0.000000000000e+00
2.005208333333e+00	1.054175279420e-11	2.484283602718e-11	-6.837379708218e-20	0.000000000000e+00
2.096354166667e+00	-8.469558907446e-12	-2.253358373750e-11	-9.501135416956e-20	0.000000000000e+00
2.187500000000e+00	6.401022853696e-12	2.023270096017e-11	-4.322798346905e-20	0.000000000000e+00
2.278645833333e+00	-4.335682389636e-12	-1.793955477157e-11	-3.976102000244e-20	0.000000000000e+00
2.369791666667e+00	2.273079258949e-12	1.565352831819e-11	-5.292046600905e-20	0.000000000000e+00
2.460937500000e+00	-2.127608954508e-13	-1.337401315921e-11	-7.547786628781e-20	0.000000000000e+00
2.552083333333e+00	-1.845723078110e-12	1.110041342040e-11	-8.803448445209e-20	0.000000000000e+00
2.643229166667e+00	3.902818048221e-12	-8.832141388451e-12	-7.831845742011e-20	0.000000000000e+00
2.734375000000e+00	-5.958965115762e-12	6.568623091492e-12	-5.772028464858e-20	0.000000000000e+00
2.825520833333e+00	8.014607246137e-12	-4.309285994725e-12	-6.472869510059e-20	0.000000000000e+00
2.916666666667e+00	-1.007017967798e-11	2.053572206884e-12	-5.315280127920e-20	0.000000000000e+00
3.007812500000e+00	1.212612008446e-11	1.990736772539e-13	-7.876861626089e-20	0.000000000000e+00
3.098958333333e+00	-1.418286331559e-11	-2.449201419486e-12	-8.227408015468e-20	0.000000000000e+00
3.190104166667e+00	1.624084348714e-11	4.697350375892e-12	-9.014193860397e-20	0.000000000000e+00
3.281250000000e+00	-1.830049416055e-11	-6.944061622852e-12	-7.277039778639e-20	0.000000000000e+00
3.372395833333e+00	2.036225012561e-11	9.189867572307e-12	-8.754256745575e-20	0.000000000000e+00
3.463541666667e+00	-2.242654511702e-11	-1.143529983899e-11	-8.677929648708e-20	0.000000000000e+00
3.554687500000e+00	2.449381522027e-11	1.368087556192e-11	-9.217912947623e-20	0.000000000000e+00
3.645833333333e+00	-2.656449674321e-11	-1.592719637416e-11	-1.040013519923e-19	0.000000000000e+00
3.736979166667e+00	2.863902935121e-11	1.817428738788e-11	-1.202434975867e-19	0.000000000000e+00
