z_A	valence_CHGCAR_e_A3	dencor_e_A3	phi_hartree_eV	phi_local_eV	phi_sol_no_dipole_eV
0.000000000000e+00	1.284311851339e-07	-1.878270353153e-09	-3.254072290779e+02	3.256516609524e+02	2.444318745764e-01
9.114583333333e-02	2.977814649280e-07	1.953696758822e-09	-3.132182326423e+02	3.134660677415e+02	2.478350992057e-01
1.822916666667e-01	-1.294175749984e-07	-1.965775143158e-09	-3.008796124652e+02	3.011310297819e+02	2.514173167006e-01
2.734375000000e-01	-3.051831677246e-07	2.015101626141e-09	-2.883913680249e+02	2.886466418444e+02	2.552738194820e-01
3.645833333333e-01	1.334770711988e-07	-2.038009128237e-09	-2.757534991091e+02	2.760128076079e+02	2.593084987817e-01
4.557291666667e-01	3.215247783773e-07	2.105360728204e-09	-2.629660062543e+02	2.632296249787e+02	2.636187243739e-01
5.468750000000e-01	-1.230878900034e-07	-2.095462558119e-09	-2.500288896885e+02	2.502969944513e+02	2.681047627819e-01
6.380208333333e-01	-3.172181470424e-07	2.202963791399e-09	-2.369421488690e+02	2.372150171539e+02	2.728682849851e-01
7.291666666667e-01	1.417210367738e-07	-2.171872508588e-09	-2.237057835612e+02	2.239835903118e+02	2.778067506366e-01
8.203125000000e-01	3.519453590023e-07	2.281127142201e-09	-2.103197943272e+02	2.106028183652e+02	2.830240380216e-01
9.114583333333e-01	-1.104773855929e-07	-2.274380634575e-09	-1.967841814221e+02	1.970725951755e+02	2.884137533501e-01
1.002604166667e+00	-3.236823672360e-07	2.354507008415e-09	-1.830989442821e+02	1.833930286021e+02	2.940843200575e-01
1.093750000000e+00	1.593965125393e-07	-2.381209060768e-09	-1.692640826503e+02	1.695640090428e+02	2.999263925283e-01
1.184895833333e+00	3.965900685012e-07	2.441706274987e-09	-1.552795971192e+02	1.555856478782e+02	3.060507590406e-01
1.276041666667e+00	-8.187915440667e-08	-2.482930899085e-09	-1.411454879780e+02	1.414578319358e+02	3.123439577678e-01
1.367187500000e+00	-3.095903706057e-07	2.545285544180e-09	-1.268617546450e+02	1.271806762217e+02	3.189215767258e-01
1.458333333333e+00	2.102122818496e-07	-2.586998195708e-09	-1.124283968486e+02	1.127540638789e+02	3.256670302933e-01
1.549479166667e+00	4.879092469995e-07	2.652334540762e-09	-9.784541522985e+01	9.817811364212e+01	3.326984122680e-01
1.640625000000e+00	1.675108399470e-09	-2.708830725959e-09	-8.311281013136e+01	8.345270485109e+01	3.398947197388e-01
1.731770833333e+00	-2.271532323721e-07	2.755478121487e-09	-6.823058096739e+01	6.857796009389e+01	3.473791264986e-01
1.822916666667e+00	3.612389032985e-07	-2.845286207960e-09	-5.319872747364e+01	5.355375480756e+01	3.550273339200e-01
1.914062500000e+00	7.260577573215e-07	2.872919510767e-09	-3.801725038706e+01	3.838021555468e+01	3.629651676142e-01
2.005208333333e+00	2.836056303467e-07	-2.975646175829e-09	-2.268615017221e+01	2.305721376259e+01	3.710635903730e-01
2.096354166667e+00	1.162815702385e-07	3.018443503003e-09	-7.205426317811e+00	7.584880072274e+00	3.794537544622e-01
2.187500000000e+00	8.629093256031e-07	-3.104631899957e-09	8.424921336965e+00	-8.036918241484e+00	3.880030954811e-01
2.278645833333e+00	1.441209752632e-06	3.178004293730e-09	2.420489182338e+01	-2.380804634092e+01	3.968454824588e-01
2.369791666667e+00	1.218914460030e-06	-3.252042383047e-09	4.013448436337e+01	-3.972864122469e+01	4.058431386770e-01
2.460937500000e+00	1.367491938947e-06	3.339958589627e-09	5.621369912495e+01	-5.579856373640e+01	4.151353885513e-01
