steps	elapsed_s	wall_s	field	raw_rmse	raw_mae	raw_max_abs	density_rmse_e_A3	density_mae_e_A3	density_max_abs_e_A3	profile_rmse_e_A3	profile_mae_e_A3	profile_max_abs_e_A3	ref_integral_e	new_integral_e	integral_diff_e
1	156.706000	160.000000	PHI	1.6105435547161842e-01	1.0406693331805103e-01	4.0816061018000005e-01	2.4251186933366263e-05	1.5670154626292955e-05	6.1459866933287238e-05	2.4242077103958668e-05	1.5670154430334088e-05	6.1450101328723857e-05	-1.3093627687269502e+00	-1.3889699572776861e+00	-7.9607188550735897e-02
1	156.706000	160.000000	RHOB	4.1352175013127657e-01	9.1869333414628898e-02	1.8881883825900001e+01	6.2267134807252050e-05	1.3833468654466376e-05	2.8431897602216650e-03	4.1692257664777501e-05	1.2919654328750255e-05	4.8053146401279756e-04	-7.0602559517381162e-14	-2.5381891537090967e-14	4.5220667980290192e-14
1	156.706000	160.000000	RHOION	6.2657996577548669e-02	2.6131171012809658e-02	3.2989335000000075e-01	9.4348940978509134e-06	3.9347704143964280e-06	4.9674566549268422e-05	8.8647058004962358e-06	3.9347114276774170e-06	3.0183540368490709e-05	-1.0000034252506915e+00	-1.0000033870177214e+00	3.8232970123175392e-08
2	163.829000	167.000000	PHI	8.1818654670717125e-02	5.2821426752076420e-02	2.0762245153000003e-01	1.2320061033094918e-05	7.9537264950121725e-06	3.1263301565943091e-05	1.2315227416182668e-05	7.9537260571317921e-06	3.1258068573659884e-05	-1.3093627687269502e+00	-1.3497710769055433e+00	-4.0408308178593089e-02
2	163.829000	167.000000	RHOB	2.3133857039374667e-01	6.1186013585726465e-02	9.7598859141999998e+00	3.4834419094646064e-05	9.2132463529459094e-06	1.4696207194179389e-03	2.1965539266467097e-05	7.0877587355726706e-06	2.4412741335110632e-04	-7.0602559517381162e-14	3.1833620879203421e-14	1.0243618039658458e-13
2	163.829000	167.000000	RHOION	3.1871777241638519e-02	1.3332731219035649e-02	1.6548964000000055e-01	4.7991774300186011e-06	2.0076113817495650e-06	2.4919041670268564e-05	4.5184587610164797e-06	2.0074794921184927e-06	1.5621404940733619e-05	-1.0000034252506915e+00	-1.0000016883680858e+00	1.7368826057406750e-06
3	172.929000	176.000000	PHI	1.3946160535991938e-04	9.7903856916583821e-05	1.0932244181900001e-03	2.0999801288868327e-08	1.4742133043399875e-08	1.6461516764331336e-07	2.0007756792761099e-08	1.4440470054894293e-08	4.2399293888708330e-08	-1.3093627687269502e+00	-1.3092906847970343e+00	7.2083929915978118e-05
3	172.929000	176.000000	RHOB	8.1705969571481907e-02	2.5157376977554123e-02	5.6029783964000002e+00	1.2303093175267305e-05	3.7881387935723493e-06	8.4368333955832766e-04	4.8712944115292325e-06	2.0067684326547567e-06	3.3996996860749632e-05	-7.0602559517381162e-14	-1.3942425571310406e-14	5.6660133946070758e-14
3	172.929000	176.000000	RHOION	7.1769405072851390e-04	2.8568605620173272e-04	3.9643770999990835e-03	1.0806868609181572e-07	4.3017935981404180e-08	5.9694660131930782e-07	9.3474447623560510e-08	4.1374304379854388e-08	2.9616587914131328e-07	-1.0000034252506915e+00	-1.0000013110995090e+00	2.1141511825639725e-06
4	176.441000	179.000000	PHI	2.0856626773793513e-04	1.3623160860687150e-04	5.2168255999995861e-04	3.1405419195872174e-08	2.0513435956971944e-08	7.8553735758263863e-08	3.1395489708778388e-08	2.0507162766035625e-08	7.8542673411817541e-08	-1.3093627687269502e+00	-1.3094662354885955e+00	-1.0346676164529889e-04
4	176.441000	179.000000	RHOB	6.6599893615490735e-03	2.2020609015151551e-03	4.8477223669999980e-01	1.0028455704174946e-06	3.3158116342101581e-07	7.2995865885722676e-05	3.8395691526437305e-07	1.5793796630407408e-07	2.2833133806559030e-06	-7.0602559517381162e-14	2.3158430724237333e-14	9.3760990241618497e-14
4	176.441000	179.000000	RHOION	1.1009824774586176e-04	4.4128361627501336e-05	7.1470709999998938e-04	1.6578335800371962e-08	6.6447451468042373e-09	1.0761891805998163e-07	1.0875809685430775e-08	4.7582396495292935e-09	5.3839845586976711e-08	-1.0000034252506915e+00	-1.0000034153282236e+00	9.9224679583898023e-09
5	181.110000	184.000000	PHI	1.0718284809670710e-04	6.8829560068370128e-05	2.7387597000005925e-04	1.6139341762178556e-08	1.0364193646744037e-08	4.1239600913486277e-08	1.6131635895558765e-08	1.0363316361346947e-08	4.1231312854770382e-08	-1.3093627687269502e+00	-1.3094153734949265e+00	-5.2604767976305311e-05
5	181.110000	184.000000	RHOB	1.2171388147425547e-03	4.0328452784550137e-04	9.0647734899999888e-02	1.8327390671144619e-07	6.0725637897070867e-08	1.3649523216610680e-05	7.1666005526362916e-08	2.9406415959177494e-08	4.2442219343731639e-07	-7.0602559517381162e-14	-4.6166653675154208e-14	2.4435905842226954e-14
5	181.110000	184.000000	RHOION	4.8635139021532544e-05	2.0264779202126848e-05	2.3831800000095882e-04	7.3233651116581746e-09	3.0514229010141638e-09	3.5885365227538574e-08	6.3609177656391516e-09	2.7878089010564951e-09	2.4491472017866382e-08	-1.0000034252506915e+00	-1.0000034251542027e+00	9.6488816936357580e-11
