label	seconds	count	seconds_per_call
l_op_ekappa_fft	29.236809	128	0.228413
l_op_total	182.822974	128	1.428304
lapl_tensor_dot	14.713840	128	0.114952
lapl_tensor_grad_ifft	34.194343	128	0.267143
lapl_tensor_total	140.206095	128	1.095360
lapl_tensor_work_build	17.659807	384	0.045989
lapl_tensor_work_fft	71.506707	384	0.186215
minimize_l_total	214.519011	14	15.322786
nlpb_bound_fft	27.043591	40	0.676090
nlpb_dielectric_scalar	11.802804	40	0.295070
nlpb_ekappa2	6.462994	19	0.340158
nlpb_fft_phi	4.904657	40	0.122616
nlpb_grad	16.703188	40	0.417580
nlpb_ion	18.880226	40	0.472006
nlpb_local_field_factor	21.545911	40	0.538648
nlpb_response	12.415439	19	0.653444
nlpb_scale_field	2.765539	40	0.069138
nlpb_total_no_response	55.036249	21	2.620774
nlpb_total_response	67.498516	19	3.552553
