fixstep	outer	rms	cg_iter	post_step_rms
-1	0	6.429657500232e+00	6	5.850977573426e-01
-1	1	5.850977573426e-01	10	1.954082369968e-01
-1	2	1.954082369968e-01	11	5.312347067870e-02
-1	3	5.312347067870e-02	12	1.236931168067e-02
-1	4	1.236931168067e-02	18	5.649340649147e-03
-1	5	5.649340649147e-03	13	3.787445555814e-03
-1	6	3.787445555814e-03	12	3.080653023394e-03
-1	7	3.080653023394e-03	11	1.261404971434e-03
-1	8	1.261404971434e-03	6	7.614731029235e-04
0	0	1.637240066295e-01	14	6.048753170807e-02
0	1	6.048753170807e-02	10	6.996004346194e-03
0	2	6.996004346194e-03	8	9.444648880246e-04
1	0	5.192193916802e-02	8	4.065376033921e-03
1	1	4.065376033921e-03	9	6.092119378842e-04
2	0	3.681114586456e-03	5	8.653785341236e-04
3	0	9.049816668885e-04	4	4.616155044165e-04
4	0	4.561148358232e-04	4	3.017507747814e-04
