z_A	RHOB_DFT_e_A3	RHOB_step05_e_A3	RHOB_step05_minus_DFT_e_A3	RHOION_DFT_e_A3	RHOION_step05_e_A3	RHOION_step05_minus_DFT_e_A3
0.000000000000e+00	5.809771915855e-11	5.808781430810e-11	-9.90485e-15	-5.771628652748e-20	2.268563631526e-22	5.79431e-20
9.114583333333e-02	-5.580949758769e-11	-5.579978029906e-11	9.71729e-15	-4.394438757167e-20	1.513599870617e-20	5.90804e-20
1.822916666667e-01	5.353777873140e-11	5.352824690839e-11	-9.53182e-15	-2.888005889155e-20	3.069135591129e-20	5.95714e-20
2.734375000000e-01	-5.128180008496e-11	-5.127244918060e-11	9.3509e-15	-9.292344638876e-20	-3.341837078346e-20	5.95051e-20
3.645833333333e-01	4.904082044303e-11	4.903164877085e-11	-9.17167e-15	-7.191524406776e-20	-1.102741081282e-20	6.08878e-20
4.557291666667e-01	-4.681412718619e-11	-4.680513025023e-11	8.99694e-15	-7.185068181300e-20	-1.170472217390e-20	6.0146e-20
5.468750000000e-01	4.460102714954e-11	4.459220354948e-11	-8.8236e-15	-3.955681965997e-20	2.059772853589e-20	6.01545e-20
6.380208333333e-01	-4.240084688805e-11	-4.239219231480e-11	8.65457e-15	-4.099170096491e-20	1.793112971867e-20	5.89228e-20
7.291666666667e-01	4.021293409686e-11	4.020444725134e-11	-8.48685e-15	-3.421444115446e-20	2.588887185756e-20	6.01033e-20
8.203125000000e-01	-3.803665573654e-11	-3.802833264388e-11	8.32309e-15	-5.117654473704e-20	7.297311734366e-21	5.84739e-20
9.114583333333e-01	3.587139078392e-11	3.586323013433e-11	-8.16065e-15	-6.479503429836e-20	-6.042493965738e-21	5.87525e-20
1.002604166667e+00	-3.371654169721e-11	-3.370853984323e-11	8.00185e-15	-4.120256484293e-20	1.469798230781e-20	5.59005e-20
1.093750000000e+00	3.157151867944e-11	3.156367431121e-11	-7.84437e-15	-6.451842353701e-20	-6.874991664011e-21	5.76434e-20
1.184895833333e+00	-2.943575168851e-11	-2.942806150564e-11	7.69018e-15	-4.247396741092e-20	1.238321816347e-20	5.48572e-20
1.276041666667e+00	2.730867942594e-11	2.730114203897e-11	-7.53739e-15	-3.159952175679e-20	2.436129337031e-20	5.59608e-20
1.367187500000e+00	-2.518975746016e-11	-2.518236990101e-11	7.38756e-15	-5.346050853954e-20	7.682316005911e-22	5.42287e-20
1.458333333333e+00	2.307844750803e-11	2.307120835128e-11	-7.23916e-15	-5.626452426600e-20	-1.935831093827e-21	5.43287e-20
