z_A	PHI_DFT_e_A3	PHI_step01_e_A3	RHOB_DFT_e_A3	RHOB_step01_e_A3	RHOION_DFT_e_A3	RHOION_step01_e_A3	PHI_step02_e_A3	RHOB_step02_e_A3	RHOION_step02_e_A3	PHI_step03_e_A3	RHOB_step03_e_A3	RHOION_step03_e_A3	PHI_step04_e_A3	RHOB_step04_e_A3	RHOION_step04_e_A3	PHI_step05_e_A3	RHOB_step05_e_A3	RHOION_step05_e_A3
0.000000000000e+00	4.639000916015e-05	2.683844079686e-05	5.809771915855e-11	5.930272244159e-11	-5.771628652748e-20	4.739106427481e-21	3.644432704129e-05	5.895832800780e-11	-8.550648717293e-21	4.639417496728e-05	5.843238927544e-11	7.108245021236e-20	4.636518361414e-05	5.811340699762e-11	3.236049750766e-20	4.637690492905e-05	5.808781430810e-11	2.268563631526e-22
9.114583333333e-02	6.391045820276e-05	2.798570534317e-05	-5.580949758769e-11	-5.709008223010e-11	-4.394438757167e-20	1.946877754843e-20	4.563562277583e-05	-5.670522066177e-11	3.996344340222e-21	6.391714423543e-05	-5.613882417137e-11	8.413113345165e-20	6.386464796631e-05	-5.582545028136e-11	4.553178979963e-20	6.388635948405e-05	-5.579978029906e-11	1.513599870617e-20
1.822916666667e-01	7.862683902798e-05	2.900382836041e-05	5.353777873140e-11	5.489467598349e-11	-2.888005889155e-20	3.321816856219e-20	5.338403832965e-05	5.446888953501e-11	1.639052031763e-20	7.863568911861e-05	5.386199489429e-11	9.772533812823e-20	7.856347100527e-05	5.355399620100e-11	5.924741890038e-20	7.859354318997e-05	5.352824690839e-11	3.069135591129e-20
2.734375000000e-01	8.838555986496e-05	2.981069068512e-05	-5.128180008496e-11	-5.271571969331e-11	-9.292344638876e-20	-2.841449987990e-20	5.858953114129e-05	-5.224856928980e-11	-4.921539220841e-20	8.839594217582e-05	-5.160112617520e-11	3.323771493294e-20	8.831071335649e-05	-5.129828006326e-11	-5.288181750342e-21	8.834625542463e-05	-5.127244918060e-11	-3.341837078346e-20
3.645833333333e-01	9.178389394306e-05	3.033379261434e-05	4.904082044303e-11	5.055245603819e-11	-7.191524406776e-20	-5.794906603325e-21	6.052582536940e-05	5.004352035120e-11	-2.951946213966e-20	9.179499963691e-05	4.935546717941e-11	5.413367370076e-20	9.170535126965e-05	4.905756361809e-11	1.485198401647e-20	9.174266263021e-05	4.903164877085e-11	-1.102741081282e-20
4.557291666667e-01	9.178707915019e-05	3.071464936608e-05	-4.681412718619e-11	-4.840415780891e-11	-7.185068181300e-20	-5.803495160147e-21	6.072167828133e-05	-4.785302866764e-11	-3.159463516415e-20	9.179847525812e-05	-4.712429367687e-11	5.406763066030e-20	9.170900617424e-05	-4.683113177200e-11	1.559089606103e-20	9.174610590747e-05	-4.680513025023e-11	-1.170472217390e-20
5.468750000000e-01	9.178378326933e-05	3.108902488316e-05	4.460102714954e-11	4.627012134244e-11	-3.955681965997e-20	2.626114137258e-20	6.091105010574e-05	4.567640446882e-11	-2.680518202443e-21	9.179546979119e-05	4.490690427364e-11	8.569277000905e-20	9.170617999084e-05	4.461829451964e-11	4.733212900549e-20	9.174306809672e-05	4.459220354948e-11	2.059772853589e-20
6.380208333333e-01	9.178705493716e-05	3.146996776561e-05	-4.240084688805e-11	-4.414966452004e-11	-4.099170096491e-20	2.411252137937e-20	6.110698947816e-05	-4.351297415017e-11	-6.999969973762e-21	9.179903187308e-05	-4.270261498104e-11	8.250523079657e-20	9.170992135609e-05	-4.241837570016e-11	4.363579184010e-20	9.174659783465e-05	-4.239219231480e-11	1.793112971867e-20
7.291666666667e-01	9.178371474239e-05	3.184429863819e-05	4.021293409686e-11	4.204212942415e-11	-3.421444115446e-20	3.145958751191e-20	6.129631698847e-05	4.136209025577e-11	-1.192920928010e-21	9.179598209223e-05	4.051076634080e-11	8.938644176035e-20	9.170705085876e-05	4.023072620311e-11	5.017434900202e-20	9.174351570998e-05	4.020444725134e-11	2.588887185756e-20
8.203125000000e-01	9.178714342253e-05	3.222539820296e-05	-3.803665573654e-11	-3.994687931767e-11	-5.117654473704e-20	1.349439972303e-20	6.149241337300e-05	-3.922312089121e-11	-2.146073041876e-20	9.179970118639e-05	-3.833071586829e-11	6.878012466761e-20	9.171094923630e-05	-3.805471045966e-11	3.233769340849e-20	9.174720246019e-05	-3.802833264388e-11	7.297311734366e-21
9.114583333333e-01	9.178358160352e-05	3.259950712071e-05	3.587139078392e-11	3.786329190867e-11	-6.479503429836e-20	-2.173793349436e-21	6.168151925886e-05	3.709545104389e-11	-3.632041452066e-20	9.179642978128e-05	3.616183618261e-11	5.462529454001e-20	9.170785711470e-05	3.588971022477e-11	1.738323902432e-20	9.174389871125e-05	3.586323013433e-11	-6.042493965738e-21
1.002604166667e+00	9.178709413131e-05	3.298069020314e-05	-3.371654169721e-11	-3.579077009151e-11	-4.120256484293e-20	1.777268565303e-20	6.187769949085e-05	-3.497848555234e-11	-1.733111536908e-20	9.180023272309e-05	-3.400352124995e-11	7.286887003303e-20	9.171183933988e-05	-3.373512577855e-11	3.780179249529e-20	9.174766930909e-05	-3.370853984323e-11	1.469798230781e-20
1.093750000000e+00	9.178347745292e-05	3.335474393094e-05	3.157151867944e-11	3.372872680482e-11	-6.451842353701e-20	-5.174161254506e-21	6.206675051713e-05	3.287164167408e-11	-3.994508166012e-20	9.179690645856e-05	3.185517563356e-11	4.821378878769e-20	9.170869235887e-05	3.159036984558e-11	1.575259785513e-20	9.174431070075e-05	3.156367431121e-11	-6.874991664011e-21
1.184895833333e+00	9.178715219557e-05	3.373608889822e-05	-2.943575168851e-11	-3.167659601248e-11	-4.247396741092e-20	1.562761954538e-20	6.226309296378e-05	-3.077435297449e-11	-2.046445782645e-20	9.180087161520e-05	-2.971622162170e-11	6.719716479665e-20	9.171283679889e-05	-2.945487037660e-11	3.482926336065e-20	9.174824351343e-05	-2.942806150564e-11	1.238321816347e-20
1.276041666667e+00	9.178329532018e-05	3.410990209846e-05	2.730867942594e-11	2.963382281159e-11	-3.159952175679e-20	2.507977057269e-20	6.245190379286e-05	2.868606602151e-11	-1.014752797342e-20	9.179730515366e-05	2.758609293759e-11	7.614629293515e-20	9.170944962087e-05	2.732806834705e-11	4.563811021002e-20	9.174464470807e-05	2.730114203897e-11	2.436129337031e-20
1.367187500000e+00	9.178704985112e-05	3.449132652400e-05	-2.518975746016e-11	-2.759986968049e-11	-5.346050853954e-20	2.985856205581e-21	6.264832602761e-05	-2.660624126634e-11	-3.474722783508e-20	9.180135009856e-05	-2.546423808202e-11	5.009142500502e-20	9.171367384915e-05	-2.520941759753e-11	2.246973776773e-20	9.174865730903e-05	-2.518236990101e-11	7.682316005911e-22
1.458333333333e+00	9.178312272516e-05	3.486506914314e-05	2.307844750803e-11	2.557420847763e-11	-5.626452426600e-20	-2.664673795878e-21	6.283706660591e-05	2.453434902847e-11	-3.824380701488e-20	9.179771338643e-05	2.335011441413e-11	4.736085624730e-20	9.171021642053e-05	2.309838179823e-11	1.875592733149e-20	9.174498825307e-05	2.307120835128e-11	-1.935831093827e-21
1.549479166667e+00	9.178703391759e-05	3.524664990013e-05	-2.097422706693e-11	-2.355632601406e-11	-5.845282931492e-20	-5.082944857816e-21	6.303364550196e-05	-2.246987298306e-11	-4.315127877199e-20	9.180191499281e-05	-2.124319297543e-11	4.377113564940e-20	9.171459731029e-05	-2.099443703645e-11	1.818715755934e-20	9.174915751550e-05	-2.096713364265e-11	-5.000168939413e-21
1.640625000000e+00	9.178282559909e-05	3.562011099620e-05	1.887658087004e-11	2.154572053327e-11	-8.144158245656e-20	-3.067314224766e-20	6.322210488752e-05	2.041230702545e-11	-6.834551407620e-20	9.179799708812e-05	1.914295455404e-11	2.095918831557e-20	9.171085868912e-05	1.889706965637e-11	-3.975169105288e-21	9.174520726699e-05	1.886963172801e-11	-2.810027716275e-20
1.731770833333e+00	9.178678228338e-05	3.600173691500e-05	-1.678500289195e-11	-1.954189780306e-11	-8.637008137000e-20	-3.734112007632e-20	6.341872927524e-05	-1.836115270184e-11	-7.657868234792e-20	9.180224418634e-05	-1.704888723493e-11	1.551922603505e-20	9.171528507072e-05	-1.680577253229e-11	-1.029294112529e-20	9.174942202125e-05	-1.677819557173e-11	-3.594577574855e-20
